"ID","Pri","Target","M","Component","Status","Owner","Summary","OS","Modified","Type","AllLabels","Stars"
"897321","3","","","","Untriaged","","Text-To-Speech Engine (a.k.a. TTS Voice Provider)","","May 4, 2020","Feature","Hotlist-Recharge-Cold, Proj-Fugu","7"
"897320","3","","","","Untriaged","","Scanner","","May 1, 2020","Feature","Hotlist-Recharge-Cold, Proj-Fugu","9"
"897317","3","","","Blink>Sensor","Assigned","rijubrata.bhaumik@intel.com","Proximity sensor","","Jan 16, 2020","Feature","Hotlist-Recharge-BouncingOwner, Proj-Fugu","11"
"897316","3","","","UI>Browser>WebAppInstalls","Available","","Notification Area Icons / Menu Extras (""system tray"")","","Feb 12, 2020","Feature","Proj-Fugu","11"
"897312","3","","","Blink>Bluetooth","Available","","Bluetooth scanning","","25 days ago","Feature","allpublic, Proj-Fugu","31"
"897311","3","","","Blink>ScreenOrientation","Available","","Detect orientation change events even when screen is locked","Android","Nov 21, 2019","Feature","Proj-Fugu","5"
"897305","3","","","Blink>Network","Available","","mDNS","","Mar 17, 2020","Feature","Proj-Fugu","9"
"897296","3","","","Blink>PermissionsAPI","Assigned","engedy@chromium.org","Permissions request","Linux, Android, Windows, Chrome, Mac","Apr 5, 2020","Feature","Proj-Fugu","10"
"889077","3","","","Blink>ServiceWorker, Blink>Scheduling>APIs","Available","","Scheduled Task API (Generic Alarms)","","Jan 9, 2020","Feature","Proj-Fugu","31"
"822994","3","","","UI>Browser>WebAppInstalls","Duplicate","ericwilligers@chromium.org","Saved PWAs should provide a back button in the title bar like Android apps do","Chrome","Oct 8, 2019","Feature","Proj-Fugu","15"
"770595","3","","","","Started","mgiuca@chromium.org","Web Share on Desktop","Linux, Windows, Chrome, Mac","Mar 24, 2020","Bug","Proj-Fugu","17"
"606766","3","","","Blink>Sensor","Started","rijubrata.bhaumik@intel.com","Ambient Light Sensor API based on Generic Sensor API.","Android, Windows, Chrome, Mac","18 days ago","Feature","Proj-Fugu, DevTrial-62","21"
"481366","3","","","Blink>Storage>FileAPI","Duplicate","","Directory Download (a.k.a. ""export folders"")","All","May 4, 2020","Feature","Hotlist-Recharge-Cold, Proj-Fugu","8"
"156382","3","","","Blink>Forms>File, Platform>Apps>FileManager","Assigned","weifangsun@chromium.org","Support camera for <input type=file accept=image/*> on desktop","Linux, Windows, Chrome, Mac, Fuchsia","Jan 14, 2020","Feature","Hotlist-Interop, Proj-Fugu","23"
"897318","","","","","WontFix","","Widget","","Nov 27, 2018","Feature","Proj-Fugu","3"
"897307","","","","","WontFix","","Auth","","Nov 27, 2018","Feature","Proj-Fugu","3"
